idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC
1,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,61,16.0,0.6311475409836066
1,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
1,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,4.0,0.5327868852459017
1,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
1,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,61,0.0,0.5
1,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
2,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,61,20.0,0.6639344262295082
2,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
2,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,61,16.0,0.6311475409836066
2,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,61,16.0,0.6311475409836066
2,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
2,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,61,1.0,0.5081967213114754
2,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,61,3.0,0.5245901639344263
2,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
2,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,61,1.0,0.5081967213114754
2,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
2,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,61,23.0,0.6885245901639344
2,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
2,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,61,21.0,0.6721311475409836
2,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,61,16.0,0.6311475409836066
2,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,61,17.0,0.639344262295082
2,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,61,16.0,0.6311475409836066
2,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
2,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,61,21.0,0.6721311475409836
2,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,61,0.0,0.5
2,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,61,0.0,0.5
3,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
3,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,61,0.0,0.5
3,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,61,16.0,0.6311475409836066
3,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,61,16.0,0.6311475409836066
3,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
3,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
3,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,61,23.0,0.6885245901639344
3,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,61,3.0,0.5245901639344263
3,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,61,19.0,0.6557377049180328
3,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,61,21.0,0.6721311475409836
3,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,61,1.0,0.5081967213114754
3,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
3,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,61,20.0,0.6639344262295082
3,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,61,1.0,0.5081967213114754
3,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
3,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,61,17.0,0.639344262295082
3,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,61,22.0,0.680327868852459
3,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,61,2.0,0.5163934426229508
3,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,61,3.0,0.5245901639344263
4,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,61,17.0,0.639344262295082
4,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
4,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,61,16.0,0.6311475409836066
4,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,61,16.0,0.6311475409836066
4,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,61,15.0,0.6229508196721312
4,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
4,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,61,15.0,0.6229508196721312
4,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,61,1.0,0.5081967213114754
4,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,61,22.0,0.680327868852459
4,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,61,17.0,0.639344262295082
4,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
4,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,61,0.0,0.5
4,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,61,2.0,0.5163934426229508
4,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,61,19.0,0.6557377049180328
4,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,61,0.0,0.5
