idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,425,181.0,0.7129411764705882,13.0,0.5152941176470588
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,425,93.0,0.6094117647058823,0.0,0.5
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,425,148.0,0.6741176470588235,2.0,0.5023529411764706
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,425,171.0,0.7011764705882353,27.0,0.5317647058823529
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,425,177.0,0.7082352941176471,14.0,0.5164705882352941
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,425,177.0,0.7082352941176471,14.0,0.5164705882352941
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,425,220.0,0.7588235294117647,37.0,0.5435294117647059
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,425,127.0,0.6494117647058824,6.0,0.5070588235294118
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,425,140.0,0.6647058823529411,7.0,0.508235294117647
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,425,187.0,0.72,23.0,0.5270588235294118
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,425,110.0,0.6294117647058823,1.0,0.5011764705882353
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,425,141.0,0.6658823529411765,2.0,0.5023529411764706
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,425,191.0,0.7247058823529412,15.0,0.5176470588235295
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,425,97.0,0.6141176470588235,4.0,0.5047058823529412
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,425,139.0,0.6635294117647059,1.0,0.5011764705882353
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,425,185.0,0.7176470588235294,12.0,0.5141176470588236
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,425,98.0,0.6152941176470588,1.0,0.5011764705882353
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,425,139.0,0.6635294117647059,1.0,0.5011764705882353
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,425,200.0,0.7352941176470589,45.0,0.5529411764705883
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,425,133.0,0.6564705882352941,2.0,0.5023529411764706
