idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,122,45.0,0.6844262295081968,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,122,1.0,0.5040983606557377,3.0,0.5122950819672131
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,122,7.0,0.5286885245901639,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,122,0.0,0.5,1.0,0.5040983606557377
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,122,38.0,0.6557377049180328,1.0,0.5040983606557377
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,122,34.0,0.639344262295082,4.0,0.5163934426229508
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,122,47.0,0.6926229508196722,3.0,0.5122950819672131
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,122,3.0,0.5122950819672131,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,122,11.0,0.5450819672131147,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,122,48.0,0.6967213114754098,3.0,0.5122950819672131
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,122,3.0,0.5122950819672131,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,122,7.0,0.5286885245901639,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,122,54.0,0.7213114754098361,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,122,5.0,0.5204918032786885,4.0,0.5163934426229508
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,122,44.0,0.680327868852459,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,122,42.0,0.6721311475409836,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,122,3.0,0.5122950819672131,7.0,0.5286885245901639
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,122,7.0,0.5286885245901639,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,122,42.0,0.6721311475409836,0.0,0.5
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,122,3.0,0.5122950819672131,6.0,0.5245901639344263
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,122,7.0,0.5286885245901639,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,122,41.0,0.6680327868852459,9.0,0.5368852459016393
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,122,4.0,0.5163934426229508,6.0,0.5245901639344263
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,122,17.0,0.569672131147541,3.0,0.5122950819672131
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,122,49.0,0.7008196721311475,37.0,0.6516393442622951
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,122,3.0,0.5122950819672131,2.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,122,6.0,0.5245901639344263,11.0,0.5450819672131147
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,122,60.0,0.7459016393442623,0.0,0.5
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,122,5.0,0.5204918032786885,6.0,0.5245901639344263
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,122,17.0,0.569672131147541,0.0,0.5
1,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,122,0.0,0.5,0.0,0.5
1,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,122,52.0,0.7131147540983607,2.0,0.5081967213114754
1,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,122,49.0,0.7008196721311475,1.0,0.5040983606557377
