idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,1074,199.0,0.5926443202979516,107.0,0.5498137802607076
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,1074,192.0,0.5893854748603352,68.0,0.5316573556797021
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,1074,194.0,0.590316573556797,67.0,0.5311918063314711
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,1074,166.0,0.5772811918063314,51.0,0.5237430167597765
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,1074,165.0,0.5768156424581006,60.0,0.5279329608938548
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,1074,174.0,0.5810055865921788,58.0,0.5270018621973929
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,1074,202.0,0.5940409683426443,59.0,0.5274674115456238
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,1074,167.0,0.5777467411545624,76.0,0.5353817504655494
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,1074,196.0,0.5912476722532588,54.0,0.5251396648044693
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,1074,211.0,0.5982309124767226,14.0,0.5065176908752328
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,1074,175.0,0.5814711359404097,66.0,0.5307262569832403
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,1074,195.0,0.590782122905028,64.0,0.5297951582867784
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,1074,218.0,0.6014897579143389,77.0,0.5358472998137802
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,1074,163.0,0.5758845437616388,74.0,0.5344506517690876
