idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,429,74.0,0.5862470862470862,14.0,0.5163170163170163
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,429,65.0,0.5757575757575758,3.0,0.5034965034965035
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,429,67.0,0.578088578088578,8.0,0.5093240093240093
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,429,46.0,0.5536130536130536,8.0,0.5093240093240093
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,429,66.0,0.5769230769230769,5.0,0.5058275058275058
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,429,65.0,0.5757575757575758,7.0,0.5081585081585082
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,429,70.0,0.5815850815850816,14.0,0.5163170163170163
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,429,72.0,0.583916083916084,7.0,0.5081585081585082
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,429,77.0,0.5897435897435898,6.0,0.506993006993007
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,429,74.0,0.5862470862470862,11.0,0.5128205128205128
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,429,69.0,0.5804195804195804,5.0,0.5058275058275058
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,429,73.0,0.5850815850815851,5.0,0.5058275058275058
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,429,69.0,0.5804195804195804,23.0,0.5268065268065268
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,429,68.0,0.5792540792540792,9.0,0.5104895104895105
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,429,75.0,0.5874125874125874,7.0,0.5081585081585082
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,429,73.0,0.5850815850815851,24.0,0.527972027972028
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,429,68.0,0.5792540792540792,11.0,0.5128205128205128
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,429,76.0,0.5885780885780886,6.0,0.506993006993007
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,429,69.0,0.5804195804195804,30.0,0.534965034965035
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,429,71.0,0.5827505827505828,14.0,0.5163170163170163
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,429,73.0,0.5850815850815851,7.0,0.5081585081585082
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,429,56.0,0.5652680652680653,16.0,0.5186480186480187
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,429,63.0,0.5734265734265734,24.0,0.527972027972028
