idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,700,302.0,0.7157142857142857,106.0,0.5757142857142857
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,700,452.0,0.8228571428571428,380.0,0.7714285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,700,456.0,0.8257142857142857,366.0,0.7614285714285715
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,700,440.0,0.8142857142857143,373.0,0.7664285714285715
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,700,421.0,0.8007142857142857,160.0,0.6142857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,700,420.0,0.8,175.0,0.625
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,700,310.0,0.7214285714285714,164.0,0.6171428571428571
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,700,442.0,0.8157142857142857,358.0,0.7557142857142858
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,700,454.0,0.8242857142857143,349.0,0.7492857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,700,310.0,0.7214285714285714,142.0,0.6014285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,700,451.0,0.8221428571428571,367.0,0.7621428571428571
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,700,458.0,0.8271428571428572,361.0,0.7578571428571428
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,700,77.0,0.555,177.0,0.6264285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,700,452.0,0.8228571428571428,386.0,0.7757142857142857
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,700,347.0,0.7478571428571429,153.0,0.6092857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,700,316.0,0.7257142857142858,159.0,0.6135714285714285
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,700,444.0,0.8171428571428572,372.0,0.7657142857142858
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,700,454.0,0.8242857142857143,356.0,0.7542857142857142
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,700,315.0,0.725,173.0,0.6235714285714286
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,700,444.0,0.8171428571428572,360.0,0.7571428571428571
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,700,448.0,0.8200000000000001,335.0,0.7392857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,700,395.0,0.7821428571428571,275.0,0.6964285714285714
