idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,245,88.0,0.6795918367346938,41.0,0.5836734693877551
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,245,52.0,0.6061224489795918,20.0,0.5408163265306123
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,245,71.0,0.6448979591836734,4.0,0.5081632653061224
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,245,2.0,0.5040816326530613,12.0,0.5244897959183673
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,245,84.0,0.6714285714285715,34.0,0.5693877551020408
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,245,71.0,0.6448979591836734,30.0,0.5612244897959183
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,245,93.0,0.689795918367347,16.0,0.5326530612244897
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,245,51.0,0.6040816326530613,21.0,0.5428571428571428
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,245,74.0,0.6510204081632653,6.0,0.5122448979591837
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,245,92.0,0.6877551020408164,19.0,0.5387755102040817
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,245,53.0,0.6081632653061224,21.0,0.5428571428571428
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,245,74.0,0.6510204081632653,6.0,0.5122448979591837
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,245,103.0,0.710204081632653,6.0,0.5122448979591837
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,245,65.0,0.6326530612244898,11.0,0.5224489795918368
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,245,106.0,0.7163265306122449,2.0,0.5040816326530613
