idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,183,74.0,0.7021857923497268,1.0,0.5027322404371585
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,183,18.0,0.5491803278688525,10.0,0.5273224043715847
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,183,42.0,0.6147540983606558,3.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,183,1.0,0.5027322404371585,5.0,0.5136612021857924
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,183,66.0,0.680327868852459,8.0,0.5218579234972678
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,183,63.0,0.6721311475409836,7.0,0.5191256830601093
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,183,76.0,0.7076502732240437,3.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,183,29.0,0.5792349726775956,11.0,0.5300546448087432
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,183,47.0,0.6284153005464481,2.0,0.505464480874317
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,183,76.0,0.7076502732240437,3.0,0.5081967213114754
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,183,27.0,0.5737704918032787,11.0,0.5300546448087432
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,183,44.0,0.6202185792349727,2.0,0.505464480874317
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,183,91.0,0.7486338797814207,1.0,0.5027322404371585
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,183,34.0,0.592896174863388,8.0,0.5218579234972678
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,183,84.0,0.7295081967213115,2.0,0.505464480874317
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,183,63.0,0.6721311475409836,9.0,0.5245901639344263
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,183,14.0,0.5382513661202186,12.0,0.5327868852459017
0,Datasets.Football,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,183,32.0,0.587431693989071,7.0,0.5191256830601093
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,183,67.0,0.6830601092896175,7.0,0.5191256830601093
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,183,15.0,0.5409836065573771,13.0,0.5355191256830601
0,Datasets.Football,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,183,32.0,0.587431693989071,5.0,0.5136612021857924
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,183,62.0,0.6693989071038251,17.0,0.546448087431694
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,183,20.0,0.5546448087431693,18.0,0.5491803278688525
0,Datasets.Football,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,183,36.0,0.5983606557377049,8.0,0.5218579234972678
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,183,76.0,0.7076502732240437,39.0,0.6065573770491803
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,183,7.0,0.5191256830601093,22.0,0.5601092896174863
0,Datasets.Football,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,183,25.0,0.5683060109289617,22.0,0.5601092896174863
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,183,71.0,0.6939890710382514,2.0,0.505464480874317
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,183,14.0,0.5382513661202186,5.0,0.5136612021857924
1,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,183,40.0,0.6092896174863388,20.0,0.5546448087431693
