idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,560,255.0,0.7276785714285714,92.0,0.5821428571428572
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,560,308.0,0.775,268.0,0.7392857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,560,328.0,0.7928571428571429,272.0,0.7428571428571429
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,560,334.0,0.7982142857142858,286.0,0.7553571428571428
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,560,322.0,0.7875,166.0,0.6482142857142857
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,560,324.0,0.7892857142857144,170.0,0.6517857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,560,251.0,0.7241071428571428,143.0,0.6276785714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,560,327.0,0.7919642857142857,268.0,0.7392857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,560,334.0,0.7982142857142858,248.0,0.7214285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,560,251.0,0.7241071428571428,136.0,0.6214285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,560,323.0,0.7883928571428571,269.0,0.7401785714285715
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,560,334.0,0.7982142857142858,268.0,0.7392857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,560,54.0,0.5482142857142858,115.0,0.6026785714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,560,309.0,0.7758928571428572,268.0,0.7392857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,560,289.0,0.7580357142857144,126.0,0.6125
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,560,258.0,0.7303571428571428,132.0,0.6178571428571429
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,560,321.0,0.7866071428571428,266.0,0.7375
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,560,332.0,0.7964285714285715,259.0,0.73125
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,560,272.0,0.7428571428571429,150.0,0.6339285714285714
